Department	CourseNumber	Title	CRN	Type	Session	Time	Days	Location	Instructor	Credits	Gen Ed
AAS	100	Intro Asian American Studies	41758	Discussion/Recitation	AD1	10:00 AM - 10:50 AM	W	111 David Kinley Hall	Arai, S	3	Social Sciences , US Minority Culture(s)
AAS	100	Intro Asian American Studies	47100	Discussion/Recitation	AD2	11:00 AM - 11:50 AM	W	111 David Kinley Hall	Arai, S	3	Social Sciences , US Minority Culture(s)
AAS	100	Intro Asian American Studies	47102	Discussion/Recitation	AD3	01:00 PM - 01:50 PM	W	111 David Kinley Hall	Davis, T	3	Social Sciences , US Minority Culture(s)
AAS	100	Intro Asian American Studies	51248	Discussion/Recitation	AD4	02:00 PM - 02:50 PM	W	111 David Kinley Hall	Davis, T	3	Social Sciences , US Minority Culture(s)
AAS	100	Intro Asian American Studies	51249	Discussion/Recitation	AD5	10:00 AM - 10:50 AM	F	222 David Kinley Hall	Thomas, M	3	Social Sciences , US Minority Culture(s)
AAS	100	Intro Asian American Studies	51932	Discussion/Recitation	AD6	11:00 AM - 11:50 AM	F	219 David Kinley Hall	Thomas, M	3	Social Sciences , US Minority Culture(s)
AAS	100	Intro Asian American Studies	29646	Lecture	AL1	01:00 PM - 01:50 PM	TR	103 Mumford Hall	Arnaldo, C	3	Social Sciences , US Minority Culture(s)
AAS	201	US Racial & Ethnic Politics	62301	Discussion/Recitation	AD1	09:00 AM - 09:50 AM	F	310 David Kinley Hall	Alvarez Mingote, C	3	Social Sciences , US Minority Culture(s)
AAS	201	US Racial & Ethnic Politics	62302	Discussion/Recitation	AD2	10:00 AM - 10:50 AM	F	310 David Kinley Hall	Alvarez Mingote, C	3	Social Sciences , US Minority Culture(s)
AAS	201	US Racial & Ethnic Politics	62303	Discussion/Recitation	AD3	02:00 PM - 02:50 PM	F	310 David Kinley Hall	Alvarez Mingote, C	3	Social Sciences , US Minority Culture(s)
AAS	201	US Racial & Ethnic Politics	62304	Discussion/Recitation	AD4	09:00 AM - 09:50 AM	F	1136 Foreign Languages Building	Paschall, C	3	Social Sciences , US Minority Culture(s)
AAS	201	US Racial & Ethnic Politics	62305	Discussion/Recitation	AD5	10:00 AM - 10:50 AM	F	1136 Foreign Languages Building	Paschall, C	3	Social Sciences , US Minority Culture(s)
AAS	201	US Racial & Ethnic Politics	62300	Lecture	AL1	11:00 AM - 11:50 AM	MW	62 Krannert Art Museum	Wong, C	3	Social Sciences , US Minority Culture(s)
AAS	287	Food and Asian Americans	58092	Lecture-Discussion	A	12:30 PM - 01:50 PM	TR	161 Noyes Laboratory	Manalansan, M	3	Social Sciences , US Minority Culture(s)
AAS	290	Individual Study	10027	Independent Study		ARRANGED -	n.a.			2	
AAS	291	Hinduism in the United States	59944	Lecture-Discussion	RP	02:00 PM - 03:20 PM	TR	212 1205 W Oregon	Luce, K Pandharipande, R	3	
AAS	310	Race and Cultural Diversity	33770	Discussion/Recitation	Lecture	A	A	02:00 PM - 03:50 PM	02:00 PM - 03:50 PM	R	4	US Minority Culture(s) , Advanced Composition
AAS	310	Race and Cultural Diversity	1092 Lincoln Hall	Ward, R	Anderson, J		section open	33764	Discussion/Recitation	Lecture	4	US Minority Culture(s) , Advanced Composition
