 TERM	 COLLEGE	 DEPARTMENT	 CRN	 SUBJ	 NUM	 SECT	 TITLE	 SCHEDULE	 ENROLLMENT
 Summer 2012	 Liberal Arts & Sciences	 Animal Sciences	 30207	 IB	 331	 AB1	 Biology of Reproduction	 Online	 17
 Summer 2012	 Liberal Arts & Sciences	 Anthropology	 36296	 ANTH	 103	 ONL	 Anthro in a Changing World	 Online	 145
 Summer 2012	 Liberal Arts & Sciences	 Anthropology	 36297	 ANTH	 143	 ONL	 Biology of Human Behavior	 Online	 52
 Summer 2012	 Liberal Arts & Sciences	 Astronomy	 36955	 ASTR	 100	 OCE	 Perspectives in Astronomy	 Online	 3
 Summer 2012	 Liberal Arts & Sciences	 Astronomy	 36917	 ASTR	 100	 OL	 Perspectives in Astronomy	 Online	 41
 Summer 2012	 Liberal Arts & Sciences	 Atmospheric Sciences	 36300	 ATMS	 120	 ONL	 Severe and Hazardous Weather	 Online	 211
 Summer 2012	 Liberal Arts & Sciences	 Atmospheric Sciences	 36367	 ESE	 120	 ONL	 Severe and Hazardous Weather	 Online	 19
 Summer 2012	 Liberal Arts & Sciences	 Chemistry	 33499	 CHEM	 232	 A	 Elementary Organic Chemistry I	 Online	 97
 Summer 2012	 Liberal Arts & Sciences	 Chemistry	 37020	 CHEM	 232	 OL1	 Elementary Organic Chemistry I	 Online	 4
 Summer 2012	 Liberal Arts & Sciences	 Chemistry	 35599	 CHEM	 332	 OL1	 Elementary Organic Chem II	 Online	 2
 Summer 2012	 Liberal Arts & Sciences	 Chemistry	 36301	 CHEM	 332	 OL2	 Elementary Organic Chem II	 Online	 14
 Summer 2012	 Liberal Arts & Sciences	 Communication	 34802	 CMN	 212	 1	 Intro to Organizational Comm	 Online	 21
 Summer 2012	 Liberal Arts & Sciences	 Communication	 34806	 CMN	 260	 OL2	 Intro to Health Communication	 Online	 28
 Summer 2012	 Liberal Arts & Sciences	 Communication	 36320	 CMN	 260	 OL3	 Intro to Health Communication	 Online	 29
 Summer 2012	 Liberal Arts & Sciences	 Communication	 36318	 CMN	 260	 ONL	 Intro to Health Communication	 Online	 21
 Summer 2012	 Liberal Arts & Sciences	 Communication	 37002	 CMN	 506	 ONL	 Health Informatics	 Online	 19
 Summer 2012	 Liberal Arts & Sciences	 Communication	 37003	 CMN	 575	 ONL	 Capstone Individual Study	 Online	 9
 Summer 2012	 Liberal Arts & Sciences	 Communication	 37004	 CMN	 595	 EH	 Provider-Patient Comm	 Online	 3
 Summer 2012	 Liberal Arts & Sciences	 Crop Sciences	 36418	 ENVS	 336	 B	 Tomorrow's Environment	 Online	 9
 Summer 2012	 Liberal Arts & Sciences	 Economics	 35600	 ECON	 102	 OCE	 Microeconomic Principles	 Online	 3
 Summer 2012	 Liberal Arts & Sciences	 Economics	 36304	 ECON	 102	 ONL	 Microeconomic Principles	 Online	 68
 Summer 2012	 Liberal Arts & Sciences	 English	 35610	 BTW	 250	 CE3	 Principles Bus Comm	 Online	 1
 Summer 2012	 Liberal Arts & Sciences	 English	 36344	 BTW	 250	 OL1	 Principles Bus Comm	 Online	 8
