 TERM	 COLLEGE	 DEPARTMENT	 CRN	 SUBJ	 NUM	 SECT	 TITLE	 SCHEDULE	 ENROLLMENT
 Summer 2013 	 Liberal Arts & Sciences	 Anthropology	 36296	 ANTH	 103	 ONL	 Anthro in a Changing World	 Online	 129
 Summer 2013 	 Liberal Arts & Sciences	 Anthropology	 36297	 ANTH	 143	 ONL	 Biology of Human Behavior	 Online	 49
 Summer 2013 	 Liberal Arts & Sciences	 Astronomy	 37432	 ASTR	 100	 ONL	 Introduction to Astronomy	 Online	 43
 Summer 2013 	 Liberal Arts & Sciences	 Atmospheric Sciences	 36300	 ATMS	 120	 ONL	 Severe and Hazardous Weather	 Online	 272
 Summer 2013 	 Liberal Arts & Sciences	 Atmospheric Sciences	 36367	 ESE	 120	 ONL	 Severe and Hazardous Weather	 Online	 11
 Summer 2013 	 Liberal Arts & Sciences	 Chemistry	 33499	 CHEM	 232	 A	 Elementary Organic Chemistry I	 Online	 88
 Summer 2013 	 Liberal Arts & Sciences	 Chemistry	 36301	 CHEM	 332	 OL2	 Elementary Organic Chem II	 Online	 52
 Summer 2013 	 Liberal Arts & Sciences	 Classics	 37431	 CLCV	 102	 O	 Medical Terms-GRK & LAT Roots	 Online	 32
 Summer 2013 	 Liberal Arts & Sciences	 Communication	 34802	 CMN	 212	 1	 Intro to Organizational Comm	 Online	 24
 Summer 2013 	 Liberal Arts & Sciences	 Communication	 34806	 CMN	 260	 OL2	 Intro to Health Communication	 Online	 26
 Summer 2013 	 Liberal Arts & Sciences	 Communication	 36320	 CMN	 260	 OL3	 Intro to Health Communication	 Online	 21
 Summer 2013 	 Liberal Arts & Sciences	 Communication	 37558	 CMN	 260	 OL4	 Intro to Health Communication	 Online	 24
 Summer 2013 	 Liberal Arts & Sciences	 Communication	 36318	 CMN	 260	 ONL	 Intro to Health Communication	 Online	 25
 Summer 2013 	 Liberal Arts & Sciences	 Communication	 37340	 CMN	 336	 1	 Family Communication	 Online	 24
 Summer 2013 	 Liberal Arts & Sciences	 Communication	 37341	 CMN	 336	 2	 Family Communication	 Online	 21
 Summer 2013 	 Liberal Arts & Sciences	 Communication	 37002	 CMN	 506	 ONL	 Health Informatics	 Online	 15
 Summer 2013 	 Liberal Arts & Sciences	 Communication	 37003	 CMN	 575	 ONL	 Capstone Individual Study	 Online	 14
 Summer 2013 	 Liberal Arts & Sciences	 Communication	 37462	 CMN	 595	 BQ1	 Mass Media and Health	 Online	 10
 Summer 2013 	 Liberal Arts & Sciences	 Communication	 37463	 CMN	 595	 JC1	 Managing Private Health Info	 Online	 8
 Summer 2013 	 Liberal Arts & Sciences	 Crop Sciences	 36418	 ENVS	 336	 B	 Tomorrow's Environment	 Online	 8
 Summer 2013 	 Liberal Arts & Sciences	 Economics	 36304	 ECON	 102	 ONL	 Microeconomic Principles	 Online	 115
 Summer 2013 	 Liberal Arts & Sciences	 Economics	 37312	 ECON	 103	 ONL	 Macroeconomic Principles	 Online	 55
 Summer 2013 	 Liberal Arts & Sciences	 Educ Policy, Orgzn & Leadrshp	 37441	 AFRO	 310	 A	 Race and Cultural Diversity	 Online	 8
 Summer 2013 	 Liberal Arts & Sciences	 Educ Policy, Orgzn & Leadrshp	 37444	 AFRO	 310	 B	 Race and Cultural Diversity	 Online	 5
 Summer 2013 	 Liberal Arts & Sciences	 Educ Policy, Orgzn & Leadrshp	 37442	 LLS	 310	 A	 Race and Cultural Diversity	 Online	 2
 Summer 2013 	 Liberal Arts & Sciences	 Educ Policy, Orgzn & Leadrshp	 37445	 LLS	 310	 B	 Race and Cultural Diversity	 Online	 1
